"Year","est","se","CV","lo","hi","relSSB","est.adj","lo.adj","hi.adj","relSSB.adj"
1980,57878.6210531595,1.08893533689066,0.0853553179248611,48977.3642261929,68397.6124060942,3.00831015421274,59223.9574898547,50115.7989619872,69987.4533262563,3.07823561528455
1981,52831.9314864851,1.09148313899873,0.0877054129602669,44502.5069222606,62720.3539222746,2.74600246283492,54059.9621678739,45536.9276288598,64178.2320803696,2.80983081778335
1982,41963.7589681935,1.08668312453889,0.0832738786111728,35654.4675637538,49389.5207828268,2.18111627256989,42939.1687643038,36483.2235615933,50537.5357267043,2.2318143566079
1983,35076.1349466337,1.08312723858719,0.0799799105888461,29994.4708742624,41018.7346845376,1.82312382379632,35891.4481234767,30691.6653449025,41972.1782420052,1.86550069567286
1984,23413.1010653652,1.07800146287419,0.0752148826540146,20208.1328459681,27126.3706387587,1.21692376900024,23957.3175201825,20677.852700045,27756.8987016526,1.24521006638131
1985,17699.2911056296,1.08189449110108,0.0788357446795694,15168.9207029324,20651.7597248208,0.919941701902833,18110.6951922302,15521.5086076831,21131.7912862873,0.941324918515208
1986,12426.9613524754,1.08818231477774,0.084659812253449,10530.0639615556,14665.5679414414,0.645906093518104,12715.8148807848,10774.825817841,15006.4558644333,0.660919599135235
1987,10856.6164927816,1.08403171809693,0.0808186679181357,9268.58547252031,12716.7324529497,0.564285552097573,11108.9687686513,9484.02539707125,13012.3214496009,0.577401861714561
1988,9270.38600935719,1.08793899148586,0.0844349843669631,7858.76376432926,10935.5694279252,0.481839336493636,9485.86778576584,8041.43365257386,11189.7568936889,0.493039258057464
1989,8288.27754759066,1.08894827212629,0.0853672614897356,7013.44520630361,9794.83587383737,0.430793081342586,8480.93109702431,7176.46642573003,10022.5080151695,0.44080647866375
1990,9720.12069912241,1.08551732930033,0.0821949965224046,8276.08399598086,11416.1173873285,0.505214831785408,9946.05615348636,8468.45411728552,11681.4747577582,0.516958095691704
1991,11281.8043117348,1.07887811415525,0.0760312547626345,9721.96109624452,13091.9170801295,0.58638519458957,11544.039695648,9947.93932898262,13396.2269056507,0.600015190499379
1992,14131.3849065399,1.08242346460516,0.0793268483526486,12099.5008940717,16504.485691193,0.734495534515018,14459.856225825,12380.742898847,16888.1176016507,0.751568221928655
1993,14777.6624539637,1.08605886165444,0.0826962823885987,12569.9757845831,17373.0889657822,0.768086578547825,15121.1559129776,12862.1535546071,17776.9107773306,0.785940059537081
1994,13872.9596876156,1.08922477623612,0.0856225380201709,11733.2990146304,16402.8045526008,0.721063576461272,14195.4241453539,12006.0289864196,16784.0729765381,0.737824050103105
1995,15873.2608365312,1.09584570115106,0.0917184109465285,13266.5727884634,18992.1250651607,0.825031607286324,16242.220493551,13574.9423286775,19433.5799131773,0.844208724199459
1996,16667.2947194024,1.09459318391823,0.0905676724773753,13961.4703804017,19897.5255252038,0.866302462554913,17054.7109791394,14285.9921895053,20360.0255917577,0.886438883341501
1997,15804.2004000278,1.09842476729052,0.0940843367492492,13148.1356290508,18996.8188137919,0.821442108977497,16171.5548093781,13453.7522041265,19438.3827637695,0.840535791234166
1998,16479.8704219549,1.09228507178289,0.0884441295274534,13861.703873166,19592.5502095142,0.856560861823966,16862.9301726409,14183.9066996315,20047.9613994323,0.876470847872189
1999,18281.3758658894,1.096406131309,0.0922329333382211,15263.9264469244,21895.3297968273,0.950196249489476,18706.3099886756,15618.722674658,22404.2670249979,0.972282705821517
2000,24835.1369406014,1.09960089647324,0.0951616822034779,20618.0352155454,29914.7819086752,1.29083577459551,25412.4073390412,21097.2828811569,30610.1240810563,1.32084009000168
2001,25446.777993419,1.09818052013193,0.0938604798164578,21179.4044369612,30573.9716229368,1.322626545634,26038.2654374546,21671.7006247086,31284.6360667397,1.35336980889087
2002,19878.3277168894,1.09939012659139,0.0949686877599036,16509.1128758906,23935.1390829193,1.03319972092221,20340.3815476733,16892.8523410905,24491.4898414497,1.05721551821744
2003,14071.5963711236,1.1003273813769,0.0958266554619277,11667.0726121448,16971.6801304297,0.731387954290654,14398.6779597322,11938.2632108336,17366.1715549997,0.748388408799814
2004,12361.8528993162,1.11003139657633,0.104673324442155,10074.6064303383,15168.37488005,0.642522004243,12649.1930402508,10308.7815863712,15520.9500976392,0.657456849751718
2005,11391.4565712444,1.11478770016724,0.108985546145912,9206.28273623433,14095.2962810726,0.592084501167935,11656.240723207,9420.27448977314,14422.9287527503,0.605846972327918
2006,12473.0169006345,1.10677920957589,0.101715810926486,10223.8284202737,15217.0150170957,0.648299885399527,12762.9409486958,10461.4721071142,15570.7208308785,0.663369032553745
2007,15235.8948115833,1.10009138298093,0.0956106803815189,12637.7302880365,18368.2105424721,0.791903750231126,15590.039469191,12931.482950492,18795.1630591359,0.810310839932917
2008,20170.1826339351,1.1006532064503,0.0961247706623652,16713.8440087902,24341.2746506628,1.04836922728794,20639.0203695008,17102.3422648494,24907.0656648105,1.07273762610112
2009,24218.2764071331,1.14219329012777,0.133540022747185,18662.7520507261,31427.5681602638,1.25877371484358,24781.2084378487,19096.5509195656,32158.0736870609,1.28803277653715
2010,27090.1131261924,1.16174695750739,0.150771311427425,20192.7067303796,36343.5293241691,1.40804084329247,27719.7984158503,20662.0680182882,37188.3019422486,1.44076948499761
2011,30044.4937413418,1.17318993897716,0.160750675400706,21968.7558390332,41088.8814454251,1.56159828889575,30742.8509484902,22479.3997894474,42043.9555011944,1.59789623517202
2012,27392.5117336249,1.17637351492761,0.163513822260989,19923.504409567,37661.5320102257,1.42375837050384,28029.226006655,20386.6083318983,38536.9404141091,1.45685235197809
2013,24816.8698692604,1.17844303473141,0.165307002114398,17988.0765776613,34238.0702822133,1.28988632184071,25393.7156660732,18406.193222558,35033.9034004641,1.31986856807241
2014,31379.0008054895,1.1787471549574,0.165570313250152,22733.023130525,43313.2754010518,1.63096088045191,32108.3774278513,23261.4317860394,44320.0534916377,1.66887109771989
