"","Year","est","se","CV","lo","hi"
"1",1980,71115.4865900984,1.33693196231005,0.296607393032809,40252.6509864475,125641.723191082
"2",1981,40600.0646480737,1.29600440599342,0.263705554225889,24424.2976443679,67488.7472069383
"3",1982,35326.1912905397,1.29820374020233,0.265489232659188,21181.1190195593,58917.5571858794
"4",1983,49600.9953333821,1.29910027111462,0.266215797428974,29699.8902516357,82837.30065052
"5",1984,26268.5261589048,1.37099580556449,0.323556738077539,14153.0432842685,48755.2714071084
"6",1985,55957.8397177638,1.29365971578932,0.261801947573667,33782.9569923446,92688.1512056069
"7",1986,39202.8046184283,1.28808503583269,0.257267421291159,23868.757347932,64387.9305297735
"8",1987,53145.9487063292,1.29112311204865,0.259740138077242,32209.023334992,87692.5647362684
"9",1988,136524.837551822,1.2979274403647,0.265265252629511,81892.651967012,227603.219835395
"10",1989,38595.3535774064,1.29407071623065,0.262135783607971,23286.3466013053,63968.8716855875
"11",1990,51664.9745419512,1.29342483598336,0.261611136625063,31202.3640902062,85547.0305616458
"12",1991,36205.7820712686,1.29579290289691,0.263533925873846,21787.7416002245,60164.9624566268
"13",1992,46153.037984058,1.29182139444141,0.260307967041161,27941.3542603559,76234.7771446483
"14",1993,122754.922541302,1.29583631335203,0.263569153542138,73866.0173781267,204001.400684466
"15",1994,99211.4204006338,1.29942134457985,0.266475926849151,59376.6609585131,165770.620628004
"16",1995,40804.214325153,1.28974147041004,0.25861605547856,24781.2824477064,67187.1566859577
"17",1996,47308.2158535231,1.28874648031167,0.257806084507124,28774.7959581924,77778.7370063469
"18",1997,34903.1114736276,1.29181765950464,0.260304930371255,21130.6941313444,57652.0195204286
"19",1998,76869.2219756962,1.2971982343431,0.264673988368809,46159.8205305799,128009.104438228
"20",1999,85877.6696731474,1.30159012068514,0.268232017671124,51228.8794659511,143961.262189854
"21",2000,33602.4237071416,1.29799803416391,0.265322481637948,20153.8292747195,56025.227940708
"22",2001,27288.1168315956,1.30321042540446,0.26954284529864,16238.6229824048,45856.1862678664
"23",2002,50850.0803496644,1.29473021342074,0.262671325529983,30649.5632036929,84364.3563330056
"24",2003,39719.0400455126,1.29150932651554,0.260054223222931,24057.5586520899,65576.152798862
"25",2004,70184.7061931843,1.29418811866672,0.262231132030273,42338.1229023526,116346.513396084
"26",2005,66348.6020883685,1.29135800090512,0.259931166062821,40196.1378979628,109516.416981537
"27",2006,111732.076865926,1.29770453498104,0.26508453513499,67043.6014637334,186208.030717539
"28",2007,87353.7833887331,1.30065644364518,0.267476223260174,52182.771492771,146229.938618396
"29",2008,101365.540961083,1.30833749380385,0.273684184323382,59858.2151382068,171655.183346332
"30",2009,82987.6973421352,1.2846265350484,0.25444809946334,50794.2942626445,135585.266221814
"31",2010,50800.2812577373,1.29108917136495,0.259712533372206,30789.0213814732,83817.8175230372
"32",2011,69971.5696495406,1.29183864278945,0.260321990645864,42360.1422226621,115580.833829241
"33",2012,52198.2862595457,1.2932505100013,0.261469504421381,31532.7797021389,86407.2598156851
"34",2013,72727.9045218104,1.29128303060461,0.259870197323536,44065.9404566602,120032.570309846
"35",2014,109624.588759703,1.29677313086354,0.264329206751942,65871.6580946158,182438.863820193
"36",2015,30445.1559047483,1.29561284781433,0.263387803104631,18326.1303396477,50578.4636955851
"37",2016,57866.1685459659,1.30218946278608,0.268717000886804,34487.9572317209,97091.6728901037
"38",2017,16490.8811682231,1.29891989101111,0.266069638710198,9877.0331819872,27533.4866952165
"39",2018,69286.953623608,1.3010533225711,0.267797529667957,41365.3968205187,116055.503184698
"40",2019,45829.942928279,1.30297554482874,0.269352887882958,27282.13648227,76987.5068315966
"41",2020,62731.2764927476,1.38873085088874,0.337445851990124,32957.7699239596,119401.678556799
"42",2021,79005.5015199627,1.35818381486628,0.313464020209531,43357.413198651,143963.13824864
